accession	label	body_site	level	taxon	reads	rel_abundance
ERR3444606	ear-D003-ELS	middle-ear	phylum	p__Bacillota	23377	0.685241
ERR3444606	ear-D003-ELS	middle-ear	phylum	p__Actinomycetota	7394	0.216738
ERR3444606	ear-D003-ELS	middle-ear	phylum	p__Pseudomonadota	3150	0.092335
ERR3444606	ear-D003-ELS	middle-ear	phylum	p__Bacteroidota	172	0.005042
ERR3444606	ear-D003-ELS	middle-ear	phylum	p__Fusobacteriota	22	0.000645
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Alloiococcus	23176	0.679349
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Corynebacterium	7381	0.216356
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Acinetobacter	1257	0.036846
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Haemophilus	1224	0.035879
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Aeromonas	170	0.004983
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Methylobacterium	127	0.003723
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Aquirhabdus	82	0.002404
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Pseudomonas	82	0.002404
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Flavobacterium	68	0.001993
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Streptococcus	59	0.001729
ERR3444606	ear-D003-ELS	middle-ear	genus	o__Enterobacterales (unresolved)	55	0.001612
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Rhizobacter	48	0.001407
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Veillonella	42	0.001231
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Pseudoxanthomonas	39	0.001143
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Staphylococcus	37	0.001085
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Mucilaginibacter	35	0.001026
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Incertae_Sedis	32	0.000938
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Lacticaseibacillus	31	0.000909
ERR3444606	ear-D003-ELS	middle-ear	genus	f__Weeksellaceae (unresolved)	29	0.000850
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Streptobacillus	22	0.000645
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Christensenellaceae_R-7_group	19	0.000557
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Endobacterium	16	0.000469
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Prevotella	14	0.000410
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Lancefieldella	13	0.000381
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Gemella	13	0.000381
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Shewanella	11	0.000322
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Moraxella	8	0.000235
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Chryseobacterium	8	0.000235
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Coralloluteibacterium	7	0.000205
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Actinobacillus	7	0.000205
ERR3444606	ear-D003-ELS	middle-ear	genus	g__Porphyromonas	3	0.000088
ERR3444623	ear-D005-MLA	middle-ear	phylum	p__Pseudomonadota	46356	0.999461
ERR3444623	ear-D005-MLA	middle-ear	phylum	p__Bacillota	23	0.000496
ERR3444623	ear-D005-MLA	middle-ear	phylum	p__Actinomycetota	2	0.000043
ERR3444623	ear-D005-MLA	middle-ear	genus	g__Haemophilus	46356	0.999461
ERR3444623	ear-D005-MLA	middle-ear	genus	g__Staphylococcus	9	0.000194
ERR3444623	ear-D005-MLA	middle-ear	genus	g__Alloiococcus	8	0.000172
ERR3444623	ear-D005-MLA	middle-ear	genus	g__Lactiplantibacillus	6	0.000129
ERR3444623	ear-D005-MLA	middle-ear	genus	g__Corynebacterium	2	0.000043
ERR3444633	ear-D006-MRA	middle-ear	phylum	p__Bacillota	24817	0.616556
